
2024/10/07 (19:00:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/07 (22:25:56) | ===> btop++ v.1.3.2
2024/10/07 (22:25:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (22:25:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/08 (01:20:18) | ===> btop++ v.1.3.2
2024/10/08 (01:20:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/08 (01:20:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/08 (02:34:37) | ===> btop++ v.1.3.2
2024/10/08 (02:34:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/08 (02:34:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/08 (03:17:21) | ===> btop++ v.1.3.2
2024/10/08 (03:17:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/08 (03:17:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/09 (10:05:04) | ===> btop++ v.1.3.2
2024/10/09 (10:05:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (10:05:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/09 (10:13:42) | ===> btop++ v.1.3.2
2024/10/09 (10:13:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (10:13:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/09 (10:14:52) | ===> btop++ v.1.3.2
2024/10/09 (10:14:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (10:14:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported
